epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.191,0.52361,0.72421,1.03335,0.84596,0.84423,0.89511,0.79864,0.49031,0.60726,1.03788,0.0685867,0.00165333,0.00165333
2,361.863,0.50729,0.71079,1.02046,0.898,0.8628,0.91454,0.82274,0.44788,0.5268,1.01519,0.0369069,0.00330692,0.00330692
3,537.225,0.51213,0.71033,1.01993,0.85287,0.87354,0.91393,0.81396,0.48114,0.58658,1.03281,0.00517508,0.00490841,0.00490841
4,873.583,0.53362,0.73581,1.03257,0.88185,0.86278,0.91469,0.81887,0.48253,0.55872,1.0338,0.00482462,0.00482462,0.00482462
5,1053.82,0.53311,0.71348,1.02852,0.8853,0.88841,0.93322,0.83274,0.48782,0.54567,1.02208,0.00469108,0.00469108,0.00469108
6,1235.59,0.50706,0.68207,1.01431,0.88715,0.87923,0.9214,0.82559,0.4662,0.52125,1.01242,0.00452302,0.00452302,0.00452302
7,1422.28,0.5119,0.69027,1.01536,0.89018,0.88407,0.92586,0.83843,0.45844,0.51495,1.00985,0.0043231,0.0043231,0.0043231
8,1620.15,0.50526,0.67867,1.01637,0.89703,0.88273,0.92937,0.83992,0.43261,0.50349,0.9952,0.00409447,0.00409447,0.00409447
9,1833.35,0.49531,0.65733,1.0117,0.88619,0.86468,0.9212,0.83157,0.45198,0.53603,1.00201,0.00384073,0.00384073,0.00384073
10,2090.87,0.49159,0.65339,1.0068,0.91203,0.87764,0.93106,0.84636,0.43176,0.48327,0.9935,0.00356588,0.00356588,0.00356588
11,2313.41,0.47928,0.63809,1.00182,0.88936,0.88341,0.93678,0.85165,0.41981,0.47575,0.98526,0.00327427,0.00327427,0.00327427
12,2520.39,0.47821,0.64284,1.00491,0.91103,0.88383,0.93994,0.8485,0.42764,0.49128,0.98738,0.00297048,0.00297048,0.00297048
13,2702.16,0.45569,0.61133,0.99271,0.91811,0.88967,0.94137,0.86059,0.41749,0.45072,0.97914,0.00265932,0.00265932,0.00265932
14,2894.98,0.45328,0.60003,0.98876,0.91458,0.89559,0.93864,0.85905,0.40881,0.4496,0.97415,0.00234568,0.00234568,0.00234568
15,3076.29,0.44451,0.59431,0.9809,0.92435,0.86925,0.94395,0.85963,0.38829,0.44483,0.96746,0.00203452,0.00203452,0.00203452
16,3295.24,0.38395,0.47162,0.95706,0.9126,0.88492,0.9371,0.86265,0.38959,0.44901,0.9627,0.00173073,0.00173073,0.00173073
17,3482.78,0.37237,0.45746,0.94505,0.91357,0.89075,0.94201,0.86909,0.36596,0.42649,0.94804,0.00143912,0.00143912,0.00143912
18,3690.36,0.36384,0.442,0.94666,0.91495,0.89453,0.94317,0.87677,0.36157,0.40732,0.94281,0.00116427,0.00116427,0.00116427
19,3878.16,0.35296,0.43542,0.93774,0.9097,0.90655,0.94848,0.87749,0.35717,0.40675,0.94365,0.000910534,0.000910534,0.000910534
20,4080.1,0.34565,0.41756,0.9354,0.93265,0.88912,0.95105,0.88363,0.35777,0.40293,0.94127,0.000681901,0.000681901,0.000681901
21,4259.25,0.33768,0.4131,0.93179,0.92309,0.90031,0.95253,0.88118,0.34955,0.39612,0.93862,0.00048198,0.00048198,0.00048198
22,4459.49,0.33276,0.40623,0.92503,0.92756,0.90435,0.95287,0.88495,0.34688,0.38704,0.93363,0.000313924,0.000313924,0.000313924
23,4647.9,0.32865,0.39597,0.9262,0.93326,0.8981,0.95223,0.88408,0.33966,0.38696,0.93116,0.000180383,0.000180383,0.000180383
24,4848.66,0.32687,0.39327,0.9276,0.9262,0.90416,0.95335,0.88549,0.33661,0.38654,0.92983,8.34636e-05,8.34636e-05,8.34636e-05
25,5025.39,0.32381,0.39291,0.9294,0.93817,0.90062,0.95374,0.88682,0.3362,0.38429,0.92957,2.46935e-05,2.46935e-05,2.46935e-05
