epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,3729.07,0.39168,0.72465,0.9125,0.72936,0.89833,0.84347,0.80793,0.31886,0.58468,0.90121,0.00158569,0.00158569,0.00158569
39,3826.5,0.38036,0.70387,0.90232,0.72349,0.92462,0.8341,0.79837,0.30669,0.57453,0.89311,0.0013638,0.0013638,0.0013638
40,3921.32,0.38542,0.71161,0.91335,0.73704,0.92684,0.8383,0.80942,0.29454,0.56251,0.89739,0.00115629,0.00115629,0.00115629
41,4036.59,0.31451,0.59585,0.87335,0.73972,0.94396,0.84714,0.81854,0.29129,0.5477,0.89889,0.00096396,0.00096396,0.00096396
42,4135.1,0.3119,0.59798,0.87424,0.74721,0.92393,0.84388,0.8136,0.29082,0.54346,0.89628,0.000787582,0.000787582,0.000787582
43,4229.61,0.31313,0.58636,0.88398,0.76255,0.92218,0.86105,0.82943,0.2969,0.51352,0.90272,0.000627848,0.000627848,0.000627848
44,4324.11,0.30577,0.56456,0.88339,0.75061,0.9122,0.86182,0.82842,0.28269,0.51695,0.89532,0.000485389,0.000485389,0.000485389
45,4421.25,0.30826,0.56757,0.8701,0.74257,0.9333,0.8605,0.83547,0.27215,0.51447,0.89049,0.000360766,0.000360766,0.000360766
46,4515.7,0.28288,0.54006,0.86984,0.75102,0.91332,0.85117,0.82222,0.2692,0.51595,0.88776,0.000254473,0.000254473,0.000254473
47,4610.21,0.2981,0.54196,0.88369,0.74889,0.94384,0.8616,0.83284,0.26905,0.50056,0.88749,0.000166927,0.000166927,0.000166927
48,4709.23,0.2899,0.53985,0.87175,0.74908,0.93542,0.85751,0.82943,0.26796,0.50396,0.88535,9.84752e-05,9.84752e-05,9.84752e-05
49,4803.7,0.28096,0.54664,0.86233,0.7443,0.94346,0.85106,0.8241,0.26885,0.50723,0.88577,4.93871e-05,4.93871e-05,4.93871e-05
50,4898.28,0.28098,0.54562,0.87271,0.74636,0.94553,0.85448,0.8269,0.26763,0.50366,0.88575,1.98565e-05,1.98565e-05,1.98565e-05
