epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.8226,0.84526,2.18565,1.06175,0.02275,0.20698,0.01152,0.00821,2.70998,inf,21.3969,0.00328889,0.00328889,0.00328889
2,189.074,0.9486,1.73987,1.15391,0.27397,0.51399,0.32341,0.21198,1.32663,11.2619,1.85881,0.0066157,0.0066157,0.0066157
3,286.375,0.87399,1.54118,1.11523,0.2036,0.42722,0.27441,0.21342,1.11598,3.26594,1.45459,0.00991634,0.00991634,0.00991634
4,381.585,0.84481,1.4461,1.10686,0.27311,0.51507,0.29394,0.23349,1.05723,3.43453,1.40288,0.00991152,0.00991152,0.00991152
5,487.475,0.7705,1.38736,1.06622,0.40305,0.73535,0.45312,0.38531,0.78519,2.81727,1.21137,0.00984307,0.00984307,0.00984307
6,597.802,0.7477,1.31072,1.065,0.40982,0.80738,0.50068,0.41611,0.76282,1.91716,1.17809,0.00975553,0.00975553,0.00975553
7,704.673,0.7357,1.28922,1.06036,0.44027,0.91449,0.58136,0.48904,0.68552,1.26314,1.10127,0.00964923,0.00964923,0.00964923
8,811.267,0.69404,1.25551,1.02692,0.41318,0.87564,0.58411,0.5083,0.62398,1.49551,1.04864,0.00952461,0.00952461,0.00952461
9,919.439,0.65123,1.19273,1.02151,0.42609,0.84713,0.54927,0.48777,0.59176,1.19577,1.05062,0.00938215,0.00938215,0.00938215
10,1020.33,0.67462,1.17854,1.02744,0.49605,0.91174,0.59105,0.51977,0.60475,1.1076,1.05651,0.00922242,0.00922242,0.00922242
11,1121.27,0.61864,1.14072,0.9993,0.46276,0.87829,0.56166,0.49626,0.52519,1.11311,0.99751,0.00904604,0.00904604,0.00904604
12,1225.65,0.61656,1.15689,0.99815,0.50581,0.89869,0.63422,0.56447,0.50232,1.02554,0.98965,0.00885371,0.00885371,0.00885371
13,1325.28,0.60673,1.10851,0.99189,0.50086,0.88617,0.61125,0.55018,0.4824,1.08204,0.9697,0.0086462,0.0086462,0.0086462
14,1424.68,0.59809,1.08298,0.9926,0.48424,0.91833,0.66253,0.59746,0.54605,0.99205,0.9981,0.00842431,0.00842431,0.00842431
15,1526.4,0.57859,1.07249,0.98235,0.56149,0.86588,0.64154,0.57696,0.54073,0.98249,1.0271,0.00818893,0.00818893,0.00818893
16,1620.32,0.57386,1.0566,0.98078,0.52755,0.81709,0.63665,0.58477,0.48996,0.96344,1.00284,0.00794099,0.00794099,0.00794099
17,1715.18,0.55328,1.05909,0.97153,0.5079,0.96115,0.6684,0.60963,0.45385,0.94074,0.95574,0.00768145,0.00768145,0.00768145
18,1813.74,0.54086,1.03199,0.96189,0.56087,0.87019,0.65289,0.59537,0.48327,0.96562,0.98516,0.00741136,0.00741136,0.00741136
19,1908.45,0.52626,1.0063,0.96687,0.47304,0.88881,0.61456,0.57355,0.41574,1.0009,0.95452,0.00713177,0.00713177,0.00713177
20,2002.19,0.5348,1.01008,0.96724,0.55986,0.86626,0.69023,0.64575,0.41466,0.90482,0.94444,0.00684378,0.00684378,0.00684378
21,2099.39,0.50972,0.98792,0.95039,0.55519,0.90787,0.69208,0.64858,0.42955,0.93194,0.9708,0.00654854,0.00654854,0.00654854
22,2194.17,0.51181,0.97218,0.96072,0.57564,0.92005,0.73781,0.68606,0.44752,0.86856,0.95998,0.00624721,0.00624721,0.00624721
23,2288.97,0.50475,0.95202,0.9499,0.58822,0.89999,0.68803,0.63919,0.39809,0.89266,0.9315,0.00594097,0.00594097,0.00594097
24,2388.18,0.47205,0.9225,0.93045,0.61602,0.8806,0.74573,0.70254,0.40256,0.79536,0.94693,0.00563104,0.00563104,0.00563104
25,2483.09,0.48695,0.90322,0.95223,0.64267,0.9408,0.77928,0.73491,0.39331,0.76262,0.94368,0.00531864,0.00531864,0.00531864
26,2577.77,0.48164,0.88966,0.94464,0.6683,0.90642,0.76533,0.72568,0.37312,0.74485,0.93156,0.005005,0.005005,0.005005
27,2675.04,0.45459,0.85974,0.92595,0.64922,0.93938,0.77405,0.73257,0.37064,0.74296,0.93396,0.00469136,0.00469136,0.00469136
28,2769.88,0.44951,0.86666,0.92835,0.66666,0.89009,0.79967,0.76135,0.36278,0.70535,0.92304,0.00437896,0.00437896,0.00437896
29,2864.69,0.4561,0.83778,0.93089,0.66043,0.92169,0.77948,0.74175,0.37495,0.7428,0.92934,0.00406903,0.00406903,0.00406903
30,2963.85,0.45202,0.83444,0.93579,0.64964,0.94531,0.79217,0.74643,0.37542,0.72282,0.91686,0.00376279,0.00376279,0.00376279
31,3058.66,0.43117,0.80922,0.92326,0.65383,0.89098,0.80427,0.76207,0.36384,0.70059,0.926,0.00346146,0.00346146,0.00346146
32,3153.37,0.4296,0.80384,0.92122,0.66963,0.86767,0.81363,0.77521,0.37113,0.67662,0.92445,0.00316622,0.00316622,0.00316622
33,3250.79,0.42952,0.795,0.93157,0.63118,0.92152,0.81163,0.77667,0.3515,0.6581,0.92634,0.00287823,0.00287823,0.00287823
34,3345.67,0.41521,0.77582,0.92416,0.71084,0.92036,0.83409,0.80044,0.32296,0.64726,0.90426,0.00259864,0.00259864,0.00259864
35,3440.31,0.42068,0.78568,0.92018,0.69857,0.90505,0.83085,0.79448,0.32131,0.63382,0.90855,0.00232855,0.00232855,0.00232855
36,3539.65,0.4079,0.7659,0.91945,0.70187,0.9082,0.83757,0.79845,0.32048,0.63794,0.8985,0.00206901,0.00206901,0.00206901
37,3634.42,0.40811,0.7571,0.91802,0.71241,0.92684,0.83259,0.79733,0.31886,0.60881,0.89914,0.00182107,0.00182107,0.00182107
