epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16688.7,0.41387,0.51169,0.9586,0.94669,0.91961,0.96523,0.90649,0.28599,0.28874,0.86968,0.00191903,0.00191903,0.00191903
43,17078.3,0.41628,0.51247,0.95949,0.94538,0.91553,0.96495,0.9067,0.27869,0.28572,0.86715,0.0018736,0.0018736,0.0018736
44,17855.1,0.41777,0.51514,0.96034,0.94388,0.9228,0.96552,0.90862,0.27954,0.28479,0.86695,0.0018278,0.0018278,0.0018278
45,18242.9,0.41249,0.50907,0.95723,0.93883,0.92159,0.9654,0.90824,0.28472,0.28559,0.8696,0.00178168,0.00178168,0.00178168
46,18625.2,0.40821,0.50333,0.95522,0.94984,0.914,0.96423,0.90827,0.2778,0.28515,0.86803,0.00173528,0.00173528,0.00173528
47,19013.7,0.40785,0.5029,0.95777,0.94058,0.92016,0.9653,0.90873,0.27182,0.27891,0.8646,0.00168866,0.00168866,0.00168866
48,19394,0.40442,0.49709,0.95341,0.94116,0.92969,0.96716,0.91137,0.2717,0.27777,0.86296,0.00164184,0.00164184,0.00164184
49,19781,0.40659,0.49537,0.95571,0.94264,0.92404,0.96613,0.91086,0.26932,0.27907,0.8612,0.00159489,0.00159489,0.00159489
50,20165,0.40399,0.50124,0.95341,0.95064,0.91431,0.96598,0.91005,0.27196,0.2778,0.86182,0.00154784,0.00154784,0.00154784
51,20625.5,0.4045,0.49754,0.95488,0.94798,0.92453,0.96658,0.9108,0.27181,0.27624,0.85985,0.00150075,0.00150075,0.00150075
52,21007.7,0.40191,0.49461,0.95422,0.94815,0.92144,0.96773,0.91187,0.27113,0.27371,0.86163,0.00145366,0.00145366,0.00145366
53,21395.9,0.39833,0.48654,0.95147,0.95771,0.91876,0.96802,0.91276,0.26623,0.2707,0.8592,0.00140661,0.00140661,0.00140661
54,21778.9,0.39472,0.4841,0.94989,0.95479,0.91852,0.96805,0.91288,0.26392,0.26952,0.85914,0.00135966,0.00135966,0.00135966
55,22167.7,0.3999,0.49181,0.95396,0.96175,0.91493,0.96852,0.9141,0.26105,0.26721,0.85647,0.00131284,0.00131284,0.00131284
56,22551.9,0.39706,0.48709,0.95059,0.94747,0.92217,0.96684,0.91506,0.26249,0.26807,0.85711,0.00126622,0.00126622,0.00126622
57,22975,0.39623,0.4852,0.94931,0.95272,0.92064,0.96827,0.91439,0.26615,0.26551,0.85806,0.00121982,0.00121982,0.00121982
58,23416.5,0.39043,0.4795,0.94527,0.95145,0.92241,0.96788,0.91415,0.26436,0.26562,0.85683,0.0011737,0.0011737,0.0011737
59,23804,0.38739,0.47311,0.94493,0.95558,0.91946,0.9687,0.91467,0.26158,0.26379,0.85632,0.0011279,0.0011279,0.0011279
60,24295.7,0.39151,0.47953,0.94959,0.94898,0.9318,0.96959,0.91505,0.26181,0.26248,0.85398,0.00108247,0.00108247,0.00108247
61,24736.7,0.38373,0.47277,0.94276,0.95409,0.92561,0.96988,0.91628,0.25796,0.26358,0.85383,0.00103746,0.00103746,0.00103746
62,25519.1,0.38885,0.47364,0.94731,0.94953,0.9257,0.96922,0.91626,0.25879,0.26338,0.85504,0.000992897,0.000992897,0.000992897
63,25918.6,0.38718,0.47355,0.94592,0.95219,0.92775,0.9691,0.91635,0.25917,0.26047,0.85412,0.000948839,0.000948839,0.000948839
64,26334.5,0.38623,0.4739,0.94601,0.94491,0.93321,0.96935,0.91743,0.25947,0.25917,0.85365,0.000905326,0.000905326,0.000905326
65,26738.7,0.38128,0.46681,0.94292,0.94948,0.92432,0.96855,0.91608,0.26,0.25936,0.8544,0.0008624,0.0008624,0.0008624
66,27167.7,0.38263,0.47195,0.94428,0.9462,0.92544,0.96912,0.91645,0.25932,0.26162,0.85355,0.000820105,0.000820105,0.000820105
67,27586.1,0.38319,0.46454,0.94472,0.94699,0.92431,0.96962,0.91641,0.26149,0.26144,0.85465,0.000778481,0.000778481,0.000778481
68,28125.5,0.37627,0.46336,0.9424,0.94422,0.93053,0.97009,0.91787,0.26084,0.2596,0.8534,0.00073757,0.00073757,0.00073757
69,28678.6,0.37543,0.45929,0.9413,0.95776,0.91876,0.96941,0.91737,0.26127,0.26037,0.85342,0.000697412,0.000697412,0.000697412
70,29190.1,0.3773,0.46465,0.94378,0.94736,0.93187,0.96981,0.91605,0.25868,0.25845,0.85249,0.000658046,0.000658046,0.000658046
71,29682.8,0.3741,0.45528,0.94016,0.94973,0.93113,0.96954,0.91739,0.25824,0.25856,0.85172,0.000619513,0.000619513,0.000619513
72,30115.9,0.37351,0.45613,0.9407,0.95461,0.92538,0.9687,0.91786,0.25595,0.25584,0.85223,0.000581849,0.000581849,0.000581849
73,30519.7,0.3746,0.46063,0.94273,0.95915,0.92425,0.96986,0.91775,0.2577,0.25596,0.85288,0.000545092,0.000545092,0.000545092
74,30930.5,0.37313,0.45582,0.94038,0.9469,0.93207,0.97029,0.91718,0.25804,0.25538,0.85309,0.000509278,0.000509278,0.000509278
75,31340,0.37114,0.4534,0.93983,0.9539,0.9274,0.97001,0.91716,0.25809,0.25574,0.85231,0.000474443,0.000474443,0.000474443
76,31756.1,0.37213,0.45702,0.93872,0.95236,0.93055,0.97018,0.91772,0.2559,0.25431,0.85104,0.00044062,0.00044062,0.00044062
77,32189.7,0.36366,0.44452,0.93289,0.96116,0.92399,0.97065,0.91837,0.25583,0.25436,0.85133,0.000407844,0.000407844,0.000407844
78,32668.8,0.36804,0.45244,0.93515,0.95941,0.92382,0.97074,0.91891,0.25514,0.25474,0.85119,0.000376146,0.000376146,0.000376146
79,33088.6,0.36999,0.45229,0.94077,0.94762,0.93228,0.97098,0.91872,0.2551,0.25397,0.85073,0.000345558,0.000345558,0.000345558
80,33491.8,0.36563,0.44675,0.93661,0.95468,0.92646,0.97049,0.91872,0.25466,0.25297,0.85036,0.00031611,0.00031611,0.00031611
81,33886.8,0.36448,0.44138,0.93711,0.94941,0.93059,0.97053,0.91858,0.25452,0.25256,0.85034,0.000287831,0.000287831,0.000287831
82,34342.2,0.35989,0.43955,0.93521,0.95766,0.92484,0.97008,0.91846,0.25417,0.25321,0.84995,0.000260749,0.000260749,0.000260749
83,34734.5,0.36036,0.44316,0.93491,0.95864,0.92448,0.96973,0.91929,0.25458,0.25353,0.85031,0.000234891,0.000234891,0.000234891
84,35120.4,0.364,0.44934,0.93669,0.95803,0.92421,0.96995,0.91907,0.25403,0.25348,0.85026,0.000210283,0.000210283,0.000210283
85,35519,0.3613,0.44416,0.93444,0.95626,0.92434,0.96995,0.91962,0.25319,0.25236,0.84999,0.000186947,0.000186947,0.000186947
